# Format: Order ID, Name, Contact Number, Items Ordered, Total Items, Total Amount, Payment Method, Date and Time, Status, Reference Number, Timestamp
WP20250618-001,meiiii,09945678901,"3x Pimiento",3,₱135.00,GCash,"Jun 18, 2025 10:05 PM",Completed,"Paid","GC987654321098"
WP20250617-008,adad,09934567890,"3x Eggmayoza; 4x Pimiento",7,₱315.00,Maya,"Jun 17, 2025 4:33 PM",Completed,"Paid","MY456789012345"
WP20250617-007,rrr,09923456789,"2x Tropiham; 3x Oreo-verload",5,₱245.00,Cash,"Jun 17, 2025 2:31 PM",Completed,"Paid",""
WP20250617-006,kkk,09912345678,"3x Pimiento",3,₱135.00,GCash,"Jun 17, 2025 2:29 PM",Completed,"Paid","GC789012345678"
WP20250617-005,tyler,09901234567,"5x Berry on top; 5x Pimiento; 1x Berry on top",11,₱495.00,Maya,"Jun 17, 2025 2:04 PM",Completed,"Paid","MY321098765432"
WP20250617-004,juls,09890123456,"4x Spicy tunasaur; 3x Tropiham; 4x S'morelicious",11,₱565.00,GCash,"Jun 17, 2025 2:03 PM",Completed,"Paid","GC654321098765"
WP20250617-003,baste,09789012345,"3x Tropiham",3,₱165.00,Cash,"Jun 17, 2025 10:13 AM",Completed,"Paid",""
WP20250617-002,hello,09678901234,"2x Tropiham; 1x S'morelicious; 4x Spicy tunasaur",7,₱345.00,Cash,"Jun 17, 2025 10:01 AM",Completed,"Paid",""
WP20250617-001,anon,09567890123,"2x Tropiham",2,₱110.00,Maya,"Jun 17, 2025 9:47 AM",Completed,"Paid","MY147258369012"
WP20250127-001,Mama Moe,09123456789,"2x Oreo-verload",2,₱90.00,GCash,"Jan 27, 2025 12:30 PM",Completed,"Paid","GC258369147012"
WP20250126-001,Watdaheli,09234567890,"1x Eggmayoza; 1x Pimiento",2,₱90.00,Cash,"Jan 26, 2025 3:45 PM",Completed,"Paid",""
WP20250125-002,Chacha,09456789012,"1x Eggmayoza; 1x Pimiento",2,₱90.00,Maya,"Jan 25, 2025 2:20 PM",Completed,"Paid","MY369147258012"
WP20250125-001,Memmei,09345678901,"1x Eggmayoza; 1x Pimiento",2,₱90.00,GCash,"Jan 25, 2025 10:15 AM",Completed,"Paid","GC471258369012"
